,Final Equity,Net P&L,CAGR %,Win Rate %,Profit Factor,Max DD %,Sharpe,Sortino,Calmar,Exposure %,Trades
NIFTY 50,1051316.0,51316.0,1.11,55.6,2.16,-3.21,0.66,0.4,0.35,11.3,9.0
BANK NIFTY,1013078.0,13078.0,0.29,35.7,1.17,-4.0,0.14,0.07,0.07,18.8,14.0
RELIANCE,1025054.0,25054.0,0.55,38.5,1.35,-3.96,0.25,0.19,0.14,20.8,13.0
TCS,1043281.0,43281.0,0.94,50.0,1.82,-3.29,0.47,0.34,0.29,11.0,10.0
INFY,1013664.0,13664.0,0.3,40.0,1.21,-4.15,0.15,0.1,0.07,15.2,10.0
HDFCBANK,977609.0,-22391.0,-0.5,33.3,0.73,-6.19,-0.16,-0.08,-0.08,18.5,12.0
ICICIBANK,983900.0,-16100.0,-0.36,30.0,0.78,-4.95,-0.18,-0.09,-0.07,13.3,10.0
SBIN,977832.0,-22168.0,-0.49,27.3,0.72,-5.84,-0.22,-0.13,-0.08,14.9,11.0
NIFTYBEES,1082741.0,82741.0,1.77,66.7,4.4,-2.05,1.04,0.73,0.86,14.5,9.0
