,Final Equity,Net P&L,CAGR %,Win Rate %,Profit Factor,Max DD %,Sharpe,Sortino,Calmar,Exposure %,Trades
NIFTY 50,1024276.0,24276.0,0.53,42.4,1.13,-4.99,0.19,0.19,0.11,38.0,33.0
BANK NIFTY,1039908.0,39908.0,0.87,38.2,1.24,-4.67,0.31,0.28,0.19,34.5,34.0
RELIANCE,1018557.0,18557.0,0.41,35.7,1.12,-9.06,0.14,0.12,0.04,30.2,28.0
TCS,993750.0,-6250.0,-0.14,31.0,0.96,-7.05,-0.03,-0.03,-0.02,29.9,29.0
INFY,986382.0,-13618.0,-0.3,28.6,0.91,-8.58,-0.08,-0.08,-0.04,36.3,28.0
HDFCBANK,1041970.0,41970.0,0.91,39.3,1.3,-3.78,0.29,0.27,0.24,36.4,28.0
ICICIBANK,946486.0,-53514.0,-1.21,33.3,0.77,-9.45,-0.35,-0.36,-0.13,43.2,39.0
SBIN,1148807.0,148807.0,3.11,48.3,2.19,-3.64,1.03,1.06,0.85,34.9,29.0
NIFTYBEES,967742.0,-32258.0,-0.72,39.4,0.82,-4.95,-0.26,-0.19,-0.15,39.4,33.0
