,Final Equity,Net P&L,CAGR %,Win Rate %,Profit Factor,Max DD %,Sharpe,Sortino,Calmar,Exposure %,Trades
NIFTY 50,1053177.0,53177.0,1.15,41.2,1.67,-3.47,0.54,0.39,0.33,19.8,17.0
BANK NIFTY,988472.0,-11528.0,-0.26,31.6,0.9,-6.56,-0.1,-0.06,-0.04,21.1,19.0
RELIANCE,1003375.0,3375.0,0.07,33.3,1.05,-4.54,0.05,0.03,0.02,15.1,12.0
TCS,1023157.0,23157.0,0.51,36.4,1.43,-3.47,0.24,0.16,0.15,15.5,11.0
INFY,976028.0,-23972.0,-0.53,23.1,0.71,-6.32,-0.18,-0.14,-0.08,25.0,13.0
HDFCBANK,971878.0,-28122.0,-0.63,26.3,0.77,-6.83,-0.19,-0.12,-0.09,22.4,19.0
ICICIBANK,944782.0,-55218.0,-1.25,23.8,0.62,-8.29,-0.46,-0.37,-0.15,30.5,21.0
SBIN,1105282.0,105282.0,2.24,50.0,2.05,-3.33,0.84,0.72,0.67,25.8,20.0
NIFTYBEES,1005672.0,5672.0,0.12,45.5,1.09,-4.48,0.08,0.06,0.03,24.7,11.0
